name,imgUri,price,description
Yukon,http://dummyimage.com/179x100.png/dddddd/000000,1951765,"Nondisp osteochon fx unsp patella, 7thE"
XG350,http://dummyimage.com/153x100.png/ff4444/ffffff,2164750,Laceration of unspecified Achilles tendon
Galant,http://dummyimage.com/242x100.png/cc0000/ffffff,1572564,Enlargement of left orbit
ES,http://dummyimage.com/195x100.png/cc0000/ffffff,2543901,"Unsp subluxation of right sternoclavicular joint, subs"
G,http://dummyimage.com/240x100.png/5fa2dd/ffffff,2904850,"Calcific tendinitis, unspecified thigh"
Focus,http://dummyimage.com/177x100.png/ff4444/ffffff,2652970,Postthrombotic syndrome w/o complications of unsp extremity
Explorer,http://dummyimage.com/131x100.png/5fa2dd/ffffff,2102756,Abnormal immunolog findings in specimens from resp org/thrx
Dakota Club,http://dummyimage.com/193x100.png/ff4444/ffffff,2806249,"Posterior tibial tendinitis, left leg"
Alero,http://dummyimage.com/206x100.png/cc0000/ffffff,1238546,Alternating heterophoria
Milan,http://dummyimage.com/120x100.png/ff4444/ffffff,2146670,Struck by raccoon
Silverado 1500,http://dummyimage.com/131x100.png/cc0000/ffffff,2309660,"Inj right innominate or subclavian vein, init encntr"
G,http://dummyimage.com/200x100.png/dddddd/000000,1849301,Cognitive deficits following nontraumatic intcrbl hemorrhage
Eldorado,http://dummyimage.com/222x100.png/dddddd/000000,1199471,"Sltr-haris Type II physeal fx unspecified metatarsal, 7thK"
5 Series,http://dummyimage.com/107x100.png/ff4444/ffffff,1229483,"Nondisp fx of l ulna styloid pro, init for opn fx type I/2"
Miata MX-5,http://dummyimage.com/242x100.png/cc0000/ffffff,2722584,"Maternal care for oth rhesus isoimmun, second tri, fetus 3"
Suburban 1500,http://dummyimage.com/211x100.png/cc0000/ffffff,1100771,"External constriction of unspecified elbow, sequela"
Golf,http://dummyimage.com/225x100.png/ff4444/ffffff,2980016,"Conjunctival concretions, bilateral"
Envoy XUV,http://dummyimage.com/230x100.png/ff4444/ffffff,2901059,"Corrosion of first degree of neck, subsequent encounter"
Dakota Club,http://dummyimage.com/189x100.png/ff4444/ffffff,2216515,Adhes due to fb acc left in body fol surgical operation
900,http://dummyimage.com/187x100.png/ff4444/ffffff,2329807,"Dermatophytosis, unspecified"
Escort,http://dummyimage.com/186x100.png/dddddd/000000,1769415,Acquired absence of lung [part of]
New Beetle,http://dummyimage.com/152x100.png/ff4444/ffffff,1677293,"Nondisp fx of base of neck of right femur, sequela"
Mazda6,http://dummyimage.com/170x100.png/cc0000/ffffff,1190800,Unspecified open wound of right thumb with damage to nail
3 Series,http://dummyimage.com/116x100.png/cc0000/ffffff,2931024,"Twin preg, unable to dtrm num plcnta & amnio sacs, first tri"
Freestar,http://dummyimage.com/164x100.png/cc0000/ffffff,1574612,"Nondisp segmental fx shaft of ulna, unsp arm, sequela"
Mustang,http://dummyimage.com/232x100.png/ff4444/ffffff,2705629,Underdosing of aminoglycosides
Firebird,http://dummyimage.com/205x100.png/dddddd/000000,1297005,"Path fx in neopltc disease, r ulna, subs for fx w nonunion"
Corolla,http://dummyimage.com/224x100.png/5fa2dd/ffffff,2637879,"Unsp mtrcy rider injured in clsn w hv veh nontraf, sequela"
98,http://dummyimage.com/113x100.png/5fa2dd/ffffff,1447098,"Poisoning by intravenous anesthetics, undetermined, subs"
Cayman,http://dummyimage.com/158x100.png/dddddd/000000,1460151,Other complications of unsp transplanted organ and tissue
Crown Victoria,http://dummyimage.com/185x100.png/ff4444/ffffff,1099503,"Toxic effect of cadmium and its compounds, undet, sequela"
LHS,http://dummyimage.com/101x100.png/5fa2dd/ffffff,1163702,"Maternal care for oth fetal problems, first tri, fetus 1"
Silverado,http://dummyimage.com/217x100.png/ff4444/ffffff,1476827,"Sltr-haris Type III physl fx lower end ulna, left arm, sqla"
W201,http://dummyimage.com/229x100.png/5fa2dd/ffffff,1845690,"Toxic effect of carb monx from oth source, undetermined"
Rio,http://dummyimage.com/249x100.png/ff4444/ffffff,2429611,"Lead-induced gout, left hand"
Prelude,http://dummyimage.com/175x100.png/ff4444/ffffff,2890215,"Accidental kick by another person, subsequent encounter"
Range Rover Sport,http://dummyimage.com/222x100.png/cc0000/ffffff,2952638,Crushing injury of right hip
Bronco,http://dummyimage.com/216x100.png/ff4444/ffffff,2918346,"Maternal care for oth fetal abnormality and damage, fetus 1"
Aventador,http://dummyimage.com/147x100.png/cc0000/ffffff,1629333,Unspecified fracture of shaft of radius
Q7,http://dummyimage.com/105x100.png/ff4444/ffffff,1898303,"Other contact with shark, initial encounter"
Vandura 2500,http://dummyimage.com/226x100.png/ff4444/ffffff,1713568,"Nondisp fx of med condyle of r femr, 7thG"
Metro,http://dummyimage.com/228x100.png/dddddd/000000,1590416,"Nondisp Maisonneuve's fx l leg, 7thG"
E250,http://dummyimage.com/150x100.png/ff4444/ffffff,1386086,"Other streptococcal arthritis, right knee"
Sequoia,http://dummyimage.com/215x100.png/cc0000/ffffff,1170298,"Disorder of lipoprotein metabolism, unspecified"
XJ Series,http://dummyimage.com/145x100.png/cc0000/ffffff,1299876,"Oth injury of axillary or brachial vein, right side, sequela"
Town & Country,http://dummyimage.com/165x100.png/5fa2dd/ffffff,1831900,Unsp inj flexor musc/fasc/tend r mid finger at wrs/hnd lv
9-3,http://dummyimage.com/193x100.png/dddddd/000000,2067649,"Ben neoplm of connctv/soft tiss of right lower limb, inc hip"
Sportage,http://dummyimage.com/158x100.png/cc0000/ffffff,1844592,"Poisoning by methylphenidate, intentional self-harm"
Legacy,http://dummyimage.com/128x100.png/cc0000/ffffff,1250123,"Anterior dislocation of unsp ulnohumeral joint, subs encntr"
Matrix,http://dummyimage.com/227x100.png/cc0000/ffffff,1786632,"Oth nondisp fx of fifth cervical vertebra, init for clos fx"
S8,http://dummyimage.com/178x100.png/dddddd/000000,2252340,"Contusion of unsp thumb without damage to nail, sequela"
Grand Prix,http://dummyimage.com/107x100.png/dddddd/000000,2959060,"Broken internal joint prosthesis, other site, init encntr"
CTS,http://dummyimage.com/148x100.png/dddddd/000000,2060520,"Type 1 diabetes with stable prolif diabetic rtnop, bilateral"
Tribeca,http://dummyimage.com/203x100.png/ff4444/ffffff,2657046,Maternal care for damage to fetus by oth medical procedures
LHS,http://dummyimage.com/151x100.png/cc0000/ffffff,2606966,"Gestational diabetes in the puerperium, unsp control"
Land Cruiser,http://dummyimage.com/204x100.png/5fa2dd/ffffff,2804218,"Unsp open wound of unspecified part of thorax, subs encntr"
TundraMax,http://dummyimage.com/224x100.png/ff4444/ffffff,1075157,Unspecified nondisp fx of fourth cervical vertebra
X-Type,http://dummyimage.com/174x100.png/cc0000/ffffff,1168632,"Nondisp Maisonneuve's fx l leg, 7thH"
QX,http://dummyimage.com/205x100.png/cc0000/ffffff,2317368,"Crushing injury of face, sequela"
Mountaineer,http://dummyimage.com/167x100.png/5fa2dd/ffffff,1734744,Complete lesion at T2-T6 level of thoracic spinal cord
B-Series,http://dummyimage.com/115x100.png/dddddd/000000,2696414,Occlusion and stenosis of anterior cerebral artery
C70,http://dummyimage.com/160x100.png/dddddd/000000,1521075,"Insect bite (nonvenomous), unsp lesser toe(s), init encntr"
Accent,http://dummyimage.com/249x100.png/ff4444/ffffff,1235697,"Laceration w/o fb of right thumb w damage to nail, subs"
Escalade,http://dummyimage.com/186x100.png/cc0000/ffffff,1589424,"Displ transverse fx shaft of l ulna, 7thM"
Metro,http://dummyimage.com/173x100.png/5fa2dd/ffffff,1677772,Benign neoplasm of conjunctiva
Bronco,http://dummyimage.com/107x100.png/ff4444/ffffff,1563720,"Recurrent erosion of cornea, left eye"
DBS,http://dummyimage.com/139x100.png/cc0000/ffffff,2954186,"Radial collateral ligament sprain of left elbow, init encntr"
Civic,http://dummyimage.com/187x100.png/dddddd/000000,1431633,"Burn third degree of unsp mult fngr, not inc thumb, sqla"
Fairlane,http://dummyimage.com/201x100.png/dddddd/000000,2922287,Cytologic evidence of malignancy on smear of vagina
CL-Class,http://dummyimage.com/181x100.png/ff4444/ffffff,1944236,"Disp fx of less trochanter of l femr, 7thH"
Concorde,http://dummyimage.com/185x100.png/cc0000/ffffff,1767076,Abrasion of right hand
Villager,http://dummyimage.com/163x100.png/dddddd/000000,1939899,"Nondisp transverse fx shaft of r tibia, 7thM"
1500,http://dummyimage.com/120x100.png/dddddd/000000,1789647,"Erosn implnt urethral bulking agent to surrnd org/tiss, init"
Rendezvous,http://dummyimage.com/181x100.png/dddddd/000000,2296734,"Nondisp transverse fx shaft of l fibula, 7thH"
Impreza,http://dummyimage.com/208x100.png/5fa2dd/ffffff,2625265,"Displ commnt fx shaft of ulna, unsp arm, 7thR"
Tracker,http://dummyimage.com/177x100.png/ff4444/ffffff,1676318,"Pedl cyc driver inj pick-up truck, pk-up/van in traf, init"
57S,http://dummyimage.com/154x100.png/cc0000/ffffff,1121468,Family history of arthritis
E-Class,http://dummyimage.com/141x100.png/dddddd/000000,2578417,"Superficial frostbite of neck, initial encounter"
Swift,http://dummyimage.com/176x100.png/cc0000/ffffff,1940355,Achlorhydria
Town Car,http://dummyimage.com/180x100.png/cc0000/ffffff,1806738,"Age-rel osteopor w current path fx, unsp shoulder, sequela"
Terraza,http://dummyimage.com/147x100.png/5fa2dd/ffffff,2877666,"Asphyxiation due to plastic bag, undetermined"
RL,http://dummyimage.com/180x100.png/cc0000/ffffff,1442106,"Toxic effect of unsp corrosive substance, self-harm, init"
GTO,http://dummyimage.com/215x100.png/ff4444/ffffff,1113383,"Unspecified sprain of right thumb, subsequent encounter"
Miata MX-5,http://dummyimage.com/115x100.png/cc0000/ffffff,2629603,"Contact w steam and hot vapors, undetermined intent, init"
Pajero,http://dummyimage.com/248x100.png/5fa2dd/ffffff,1474489,"Oth disorders of bone development and growth, right humerus"
Prius,http://dummyimage.com/140x100.png/ff4444/ffffff,2601773,"Unsp injury of unsp musc/fasc/tend at shldr/up arm, unsp arm"
Firebird Trans Am,http://dummyimage.com/235x100.png/cc0000/ffffff,2886547,Passenger in hv veh injured in collision w ped/anml nontraf
Navigator,http://dummyimage.com/214x100.png/dddddd/000000,2341904,"Unsp physl fx low end humer, l arm, subs for fx w nonunion"
Range Rover,http://dummyimage.com/107x100.png/ff4444/ffffff,2652964,"Unsp open wound of right eyelid and periocular area, subs"
Outback,http://dummyimage.com/228x100.png/5fa2dd/ffffff,1653416,"Lac w/o fb of abd wall, unsp q w penet perit cav, init"
Swift,http://dummyimage.com/174x100.png/cc0000/ffffff,2025433,Displaced longitudinal fracture of unspecified patella
Intrepid,http://dummyimage.com/223x100.png/dddddd/000000,1204841,Unspecified dislocation of left index finger
Blazer,http://dummyimage.com/239x100.png/dddddd/000000,2968668,"Unsp fx shaft of l femr, 7thF"
Expedition EL,http://dummyimage.com/167x100.png/cc0000/ffffff,1900830,Injury of right iliac vein
599 GTB Fiorano,http://dummyimage.com/237x100.png/dddddd/000000,2184857,"Acute reactive otitis externa, bilateral"
Town & Country,http://dummyimage.com/101x100.png/ff4444/ffffff,2464475,"Blister (nonthermal) of oth part of neck, sequela"
Freelander,http://dummyimage.com/207x100.png/dddddd/000000,2265408,"Unsp inj flxr musc/fasc/tend l lit fngr at forarm lv, init"
E-Class,http://dummyimage.com/208x100.png/dddddd/000000,1249380,"Toxic effect of unspecified metal, assault"
Canyon,http://dummyimage.com/134x100.png/5fa2dd/ffffff,2564138,"Path fx in oth dis, unsp ulna & rad, subs for fx w nonunion"
Odyssey,http://dummyimage.com/250x100.png/5fa2dd/ffffff,1938489,Other cyst of bone
Focus,http://dummyimage.com/234x100.png/ff4444/ffffff,2498006,"External constriction, right lesser toe(s)"
Beretta,http://dummyimage.com/249x100.png/5fa2dd/ffffff,2576219,"Toxic effect of cadmium and its compounds, undet, sequela"
Cooper Countryman,http://dummyimage.com/161x100.png/dddddd/000000,1523798,"Nondisp spiral fracture of shaft of right femur, sequela"
S40,http://dummyimage.com/214x100.png/cc0000/ffffff,2304829,"Prsn brd/alit pedl cyc inj in clsn w statnry object, sequela"
Regency,http://dummyimage.com/134x100.png/cc0000/ffffff,1758870,"Laceration of left kidney, unspecified degree, subs encntr"
Eclipse,http://dummyimage.com/192x100.png/5fa2dd/ffffff,2027399,Pyogenic granuloma
Challenger,http://dummyimage.com/150x100.png/cc0000/ffffff,1233994,"Complete traumatic MCP amputation of r mid finger, sequela"
Celica,http://dummyimage.com/164x100.png/cc0000/ffffff,1477971,Vitamin A deficiency w Bitot's spot and conjunctival xerosis
Silverado 1500,http://dummyimage.com/130x100.png/5fa2dd/ffffff,2094814,"Nondisp suprcndl fx w/o intrcndl extn low end l femr, 7thR"
Tiburon,http://dummyimage.com/222x100.png/ff4444/ffffff,2970962,Persistent migraine aura without cerebral infarction
Venture,http://dummyimage.com/122x100.png/dddddd/000000,2167943,"Poisoning by rifampicins, undetermined, subsequent encounter"
Frontier,http://dummyimage.com/124x100.png/cc0000/ffffff,1682617,"Displaced midcervical fracture of right femur, init"
Caravan,http://dummyimage.com/125x100.png/cc0000/ffffff,1325853,Other intestinal Escherichia coli infections
Sonoma,http://dummyimage.com/197x100.png/dddddd/000000,1519547,"Toxic effect of fiberglass, accidental, sequela"
Enclave,http://dummyimage.com/141x100.png/dddddd/000000,1786576,Retrograde ejaculation
G5,http://dummyimage.com/226x100.png/5fa2dd/ffffff,1971429,"Hit by falling object due to accident to unsp wtrcrft, subs"
Town Car,http://dummyimage.com/196x100.png/5fa2dd/ffffff,1946088,"Unspecified maternal hypertension, second trimester"
S-Class,http://dummyimage.com/162x100.png/cc0000/ffffff,1332718,"Mech compl of umbrella device, subsequent encounter"
Alcyone SVX,http://dummyimage.com/245x100.png/ff4444/ffffff,2130568,Blepharochalasis left lower eyelid
Alero,http://dummyimage.com/248x100.png/5fa2dd/ffffff,1396494,"Other superficial bite of left middle finger, init encntr"
612 Scaglietti,http://dummyimage.com/101x100.png/5fa2dd/ffffff,2728195,"Traumatic rupture of unsp ligament of left wrist, subs"
MX-5,http://dummyimage.com/223x100.png/5fa2dd/ffffff,2029354,Athscl CABG and cor art of transplanted heart w ang pctrs
Quest,http://dummyimage.com/129x100.png/dddddd/000000,1074400,"Other non-follicular lymphoma, intrapelvic lymph nodes"
Sebring,http://dummyimage.com/150x100.png/dddddd/000000,2004980,"Cervical disc disorder, unspecified"
Charger,http://dummyimage.com/158x100.png/dddddd/000000,2717726,"Unsp inj extn musc/fasc/tend l mid fngr at wrs/hnd lv, subs"
LHS,http://dummyimage.com/163x100.png/5fa2dd/ffffff,1140524,"Frostbite with tissue necrosis of right toe(s), init encntr"
SC,http://dummyimage.com/134x100.png/dddddd/000000,2797937,"Displ osteochon fx r patella, 7thQ"
Thunderbird,http://dummyimage.com/205x100.png/dddddd/000000,2426063,"Sensorineural hearing loss, bilateral"
Monte Carlo,http://dummyimage.com/169x100.png/cc0000/ffffff,1495139,"Oth pre-exist diabetes in pregnancy, chldbrth, and the puerp"
Escalade,http://dummyimage.com/138x100.png/dddddd/000000,2526673,"Milt op involving unarmed hand to hand combat, milt, init"
Panamera,http://dummyimage.com/200x100.png/dddddd/000000,1813413,"Traumatic hemopneumothorax, subsequent encounter"
Tucson,http://dummyimage.com/131x100.png/dddddd/000000,1953196,"Burn due to other powered watercraft on fire, subs encntr"
Frontier,http://dummyimage.com/163x100.png/cc0000/ffffff,2070954,Strain of musc/tend peroneal muscle group at lower leg level
M3,http://dummyimage.com/186x100.png/dddddd/000000,2029354,Lacerat flexor musc/fasc/tend r mid finger at wrs/hnd lv
Miata MX-5,http://dummyimage.com/225x100.png/dddddd/000000,2043620,"Partial traumatic amputation of unspecified ear, subs encntr"
Express,http://dummyimage.com/143x100.png/cc0000/ffffff,1752670,Toxic effects of other metals
Explorer,http://dummyimage.com/219x100.png/ff4444/ffffff,2316212,"Open bite of left ring finger w/o damage to nail, subs"
Elan,http://dummyimage.com/162x100.png/ff4444/ffffff,1107584,"Nondisp oblique fx shaft of r fibula, 7thD"
Corvette,http://dummyimage.com/184x100.png/dddddd/000000,1533310,"Dislocation of distal interphaln joint of r rng fngr, subs"
ES,http://dummyimage.com/130x100.png/cc0000/ffffff,1828872,Other nonrheumatic mitral valve disorders
Vision,http://dummyimage.com/235x100.png/cc0000/ffffff,2313768,Sltr-haris Type I physeal fx lower end of unsp fibula
Aspire,http://dummyimage.com/107x100.png/5fa2dd/ffffff,1916287,Beta thalassemia
Probe,http://dummyimage.com/227x100.png/cc0000/ffffff,2371452,"Sprain of unspecified site of unspecified knee, subs encntr"
Cube,http://dummyimage.com/249x100.png/5fa2dd/ffffff,2268169,"External constriction of unspecified hand, sequela"
Sequoia,http://dummyimage.com/219x100.png/cc0000/ffffff,2410418,Adjustment insomnia
Grand Prix,http://dummyimage.com/249x100.png/ff4444/ffffff,1811905,"Disp fx of lateral condyle of unsp tibia, 7thP"
LS,http://dummyimage.com/106x100.png/cc0000/ffffff,2863679,"Corrosions of right ear drum, sequela"
Swift,http://dummyimage.com/180x100.png/5fa2dd/ffffff,1046375,"War operations involving flamethrower, civilian, init encntr"
Forenza,http://dummyimage.com/107x100.png/dddddd/000000,1739469,"Other infective (teno)synovitis, left hip"
Sonoma Club Coupe,http://dummyimage.com/191x100.png/ff4444/ffffff,2477270,"Underdosing of other general anesthetics, subs encntr"
XJ,http://dummyimage.com/138x100.png/cc0000/ffffff,1091572,"Toxic effect of contact w venomous frog, self-harm, sequela"
3500 Club Coupe,http://dummyimage.com/165x100.png/dddddd/000000,2583762,"Nondisp fx of distal phalanx of left ring finger, init"
Pilot,http://dummyimage.com/250x100.png/5fa2dd/ffffff,1786984,"Pressure ulcer of right ankle, stage 1"
Monte Carlo,http://dummyimage.com/123x100.png/5fa2dd/ffffff,2697714,"Poisn by selective serotonin reuptake inhibtr, acc, init"
9-3,http://dummyimage.com/243x100.png/ff4444/ffffff,1321491,"Open bite of unspecified shoulder, sequela"
CTS,http://dummyimage.com/250x100.png/dddddd/000000,2910826,"Other bursitis, not elsewhere classified, left hip"
Ram Van B250,http://dummyimage.com/248x100.png/5fa2dd/ffffff,2453825,"Sprain of chondrosternal joint, subsequent encounter"
Sonoma Club Coupe,http://dummyimage.com/228x100.png/ff4444/ffffff,1784738,"Nondisp intartic fx unsp calcaneus, subs for fx w malunion"
GLI,http://dummyimage.com/170x100.png/5fa2dd/ffffff,1117077,"Spontaneous rupture of other tendons, left shoulder"
Savana 1500,http://dummyimage.com/228x100.png/5fa2dd/ffffff,1160667,"Nondisplaced oblique fracture of shaft of left tibia, init"
Impreza,http://dummyimage.com/136x100.png/ff4444/ffffff,2691675,"Localized swelling, mass and lump, left upper limb"
CLK-Class,http://dummyimage.com/231x100.png/cc0000/ffffff,1592766,Other abdominal hernia
E-Class,http://dummyimage.com/110x100.png/ff4444/ffffff,2353732,"Unsp inj musc/fasc/tend at shldr/up arm, left arm, init"
TrailBlazer,http://dummyimage.com/142x100.png/ff4444/ffffff,1335765,"Other idiopathic scoliosis, lumbar region"
Gemini,http://dummyimage.com/212x100.png/5fa2dd/ffffff,1664664,"Spinal enthesopathy, cervicothoracic region"
Vitara,http://dummyimage.com/166x100.png/cc0000/ffffff,1827288,Traumatic rupture of ulnocarpal (palmar) ligament
Caprice Classic,http://dummyimage.com/154x100.png/5fa2dd/ffffff,1008179,Displaced fracture of anterior process of right calcaneus
Sierra 1500,http://dummyimage.com/119x100.png/ff4444/ffffff,1735451,Malignant neoplasm of overlapping sites of penis
Taurus,http://dummyimage.com/181x100.png/dddddd/000000,2556148,"Poisoning by other general anesthetics, assault, init encntr"
1 Series,http://dummyimage.com/240x100.png/cc0000/ffffff,1911220,"Malig neoplm of conn and soft tiss of r upr limb, inc shldr"
Truck,http://dummyimage.com/172x100.png/5fa2dd/ffffff,1477681,Burn of second degree of upper back
i-350,http://dummyimage.com/131x100.png/cc0000/ffffff,1147305,"Pathological fracture, unspecified finger(s), sequela"
V8 Vantage,http://dummyimage.com/192x100.png/dddddd/000000,2646655,Breakdown (mechanical) of implanted penile prosthesis
GTI,http://dummyimage.com/130x100.png/cc0000/ffffff,2786733,Epidural hemorrhage w LOC of 1-5 hrs 59 min
Accent,http://dummyimage.com/182x100.png/5fa2dd/ffffff,2248608,Disp fx of lower epiphysis (separation) of left femur
Gallardo,http://dummyimage.com/125x100.png/dddddd/000000,1433895,"Dislocation of unsp parts of lumbar spine and pelvis, init"
H1,http://dummyimage.com/225x100.png/dddddd/000000,2084828,"Sltr-haris Type III physl fx low end unsp tibia, 7thK"
Silhouette,http://dummyimage.com/145x100.png/dddddd/000000,2549030,"Poisoning by oth systemic anti-infect/parasit, self-harm"
Sienna,http://dummyimage.com/220x100.png/cc0000/ffffff,2888677,"Inj long flexor musc/fasc/tend l thm at wrs/hnd lv, subs"
Grand Prix Turbo,http://dummyimage.com/185x100.png/ff4444/ffffff,1093846,Arthropathies in other diseases classified elsewhere
5 Series,http://dummyimage.com/185x100.png/5fa2dd/ffffff,1503248,"Frostbite with tissue necrosis of unsp arm, init encntr"
Grand Caravan,http://dummyimage.com/245x100.png/5fa2dd/ffffff,1894314,"Unsp injury at C7 level of cervical spinal cord, sequela"
Allroad,http://dummyimage.com/135x100.png/cc0000/ffffff,2611048,"Maternal care for oth rhesus isoimmunization, unsp trimester"
Sunfire,http://dummyimage.com/144x100.png/5fa2dd/ffffff,2049372,"Toxic effect of soaps, assault, initial encounter"
Solara,http://dummyimage.com/156x100.png/5fa2dd/ffffff,1665446,"Felty's syndrome, right knee"
Santa Fe,http://dummyimage.com/109x100.png/dddddd/000000,1586157,"Open bite of left wrist, initial encounter"
Trans Sport,http://dummyimage.com/188x100.png/dddddd/000000,1679145,"Cont preg aft elctv fetl rdct of 1 fts or more,2nd tri, fts4"
Golf,http://dummyimage.com/202x100.png/5fa2dd/ffffff,2771374,"Malignant neoplasm of lower lobe, unsp bronchus or lung"
Civic,http://dummyimage.com/213x100.png/ff4444/ffffff,2841422,"Pnctr w fb of r little finger w damage to nail, sequela"
B2600,http://dummyimage.com/204x100.png/ff4444/ffffff,1133744,Blister (nonthermal) of wrist
Suburban,http://dummyimage.com/249x100.png/5fa2dd/ffffff,1460202,"Cocaine use, unsp w intoxication with perceptual disturbance"
M,http://dummyimage.com/181x100.png/ff4444/ffffff,2082889,"Maternal care for oth fetal abnormality and damage, fetus 3"
Countach,http://dummyimage.com/200x100.png/5fa2dd/ffffff,1823397,"Oth nondisp fx of upper end of left humerus, init"
Phantom,http://dummyimage.com/134x100.png/dddddd/000000,2527323,Fracture of second metatarsal bone
Familia,http://dummyimage.com/247x100.png/ff4444/ffffff,1065132,Dislocation of other and unspecified parts of thorax
Intrepid,http://dummyimage.com/177x100.png/5fa2dd/ffffff,1466476,Toxoplasma chorioretinitis
Elantra,http://dummyimage.com/110x100.png/cc0000/ffffff,2461096,Neoplasm of uncertain behavior of left adrenal gland
CX-7,http://dummyimage.com/239x100.png/dddddd/000000,1089396,"Contact with metalworking machines, initial encounter"
XJ Series,http://dummyimage.com/169x100.png/5fa2dd/ffffff,1941663,Sprain of right sternoclavicular joint
Nubira,http://dummyimage.com/171x100.png/dddddd/000000,2015368,Other intraoperative cardiac functional disturbances
9000,http://dummyimage.com/147x100.png/5fa2dd/ffffff,1684236,Antacids and anti-gastric-secretion drugs
X6 M,http://dummyimage.com/101x100.png/ff4444/ffffff,2387696,Benign neoplasm of left bronchus and lung
Freelander,http://dummyimage.com/226x100.png/ff4444/ffffff,2232105,Complications of kidney transplant
Contour,http://dummyimage.com/167x100.png/ff4444/ffffff,1033424,Hypnic headache
Cabriolet,http://dummyimage.com/225x100.png/cc0000/ffffff,1914252,"Disp fx of greater tuberosity of l humer, 7thG"
Lumina,http://dummyimage.com/168x100.png/dddddd/000000,2947380,"External constriction, left lower leg, subsequent encounter"
Escalade ESV,http://dummyimage.com/157x100.png/ff4444/ffffff,1997339,Bouchard's nodes (with arthropathy)
9-3,http://dummyimage.com/240x100.png/ff4444/ffffff,2334440,Benign neoplasm of renal pelvis
Cayman,http://dummyimage.com/234x100.png/cc0000/ffffff,2048283,"Ultralt/microlt/pwr-glider crash injuring occupant, init"
Camaro,http://dummyimage.com/163x100.png/dddddd/000000,1839754,"Other cervical disc displacement, mid-cervical region"
GX,http://dummyimage.com/213x100.png/ff4444/ffffff,1570895,"Fibrous dysplasia (monostotic), right forearm"
Town Car,http://dummyimage.com/191x100.png/cc0000/ffffff,1159231,Endometriosis of rectovaginal septum and vagina
Sienna,http://dummyimage.com/149x100.png/5fa2dd/ffffff,2993777,"Toxic eff of corrosv acids and acid-like substnc, acc, sqla"
6 Series,http://dummyimage.com/193x100.png/cc0000/ffffff,1754825,Pedal cycle rider injured in collision w hv veh
944,http://dummyimage.com/120x100.png/5fa2dd/ffffff,2170905,"Other instability, left elbow"
Firebird,http://dummyimage.com/212x100.png/ff4444/ffffff,2421037,"Burn of unspecified degree of right axilla, init encntr"
F150,http://dummyimage.com/229x100.png/dddddd/000000,2137785,"Oth nondisp fx of base of first MC bone, left hand, sequela"
S90,http://dummyimage.com/102x100.png/cc0000/ffffff,1399454,"Ped on rolr-skt injured in collision w pedl cyc, unsp, subs"
300CE,http://dummyimage.com/206x100.png/ff4444/ffffff,2554453,"Other reactive arthropathies, left hip"
RX-7,http://dummyimage.com/240x100.png/ff4444/ffffff,1610472,Subluxation and dislocation of radial head
GT500,http://dummyimage.com/176x100.png/cc0000/ffffff,1188411,Disord social w onset specific to childhood and adolescence
CLK-Class,http://dummyimage.com/113x100.png/ff4444/ffffff,2911976,Person outside pk-up/van inj in nonclsn trnsp acc in traf
Escalade ESV,http://dummyimage.com/187x100.png/ff4444/ffffff,1350046,"Oth fx shaft of right ulna, init for opn fx type I/2"
Sonata,http://dummyimage.com/195x100.png/cc0000/ffffff,1733039,Adverse effect of unsp prim systemic and hematolog agent
S6,http://dummyimage.com/116x100.png/ff4444/ffffff,2649830,"Bloodstream infct due to central venous catheter, sequela"
430 Scuderia,http://dummyimage.com/155x100.png/ff4444/ffffff,2129228,"Nondisp longitud fx r patella, 7thR"
Neon,http://dummyimage.com/238x100.png/cc0000/ffffff,2738223,Subluxation and dislocation of oth parts of shoulder girdle
Econoline E150,http://dummyimage.com/138x100.png/cc0000/ffffff,2793651,"Corrosion of first degree of back of right hand, subs encntr"
F250,http://dummyimage.com/104x100.png/5fa2dd/ffffff,1770917,"Abscess of bursa, unspecified knee"
G3,http://dummyimage.com/145x100.png/dddddd/000000,2781058,Laceration of portal vein
Passat,http://dummyimage.com/176x100.png/ff4444/ffffff,1932626,Mechanical comp of prosth dev/implnt/grft of genitl trct
Quest,http://dummyimage.com/140x100.png/cc0000/ffffff,2575770,"Algoneurodystrophy, unspecified hand"
Contour,http://dummyimage.com/208x100.png/cc0000/ffffff,2400218,Lac w/o fb of lower back and pelvis w/o penet retroperiton
Ram 1500 Club,http://dummyimage.com/181x100.png/ff4444/ffffff,2408720,Displaced fracture of posterior process of unspecified talus
XF,http://dummyimage.com/218x100.png/5fa2dd/ffffff,1724795,"Toxic effect of contact w venomous marine plant, accidental"
XF,http://dummyimage.com/150x100.png/dddddd/000000,2405366,"Displaced transverse fracture of shaft of humerus, left arm"
960,http://dummyimage.com/151x100.png/5fa2dd/ffffff,1033692,"Other injury of inferior vena cava, subsequent encounter"
CL,http://dummyimage.com/208x100.png/ff4444/ffffff,1552640,"Adverse effect of opth drugs and preparations, init"
Century,http://dummyimage.com/249x100.png/dddddd/000000,2814675,Unspecified dislocation of unspecified radial head
Suburban,http://dummyimage.com/232x100.png/dddddd/000000,2196075,"Laceration w fb of right eyelid and periocular area, sequela"
SL-Class,http://dummyimage.com/101x100.png/5fa2dd/ffffff,2743044,Other strabismus
X5,http://dummyimage.com/203x100.png/ff4444/ffffff,1573999,Acquired clawhand
